technique,typologie
huile sur toile,Peinture
tempera sur bois,Peinture
tempera sur toile,Peinture
huile sur bois,Peinture
fresque,Peinture
eau-forte,Estampe
burin,Estampe
eau-forte et burin,Estampe
gravure sur bois,Estampe
gravure sur bois en clair-obscur,Estampe
graphite,Dessin
pierre noire,Dessin
sanguine,Dessin
huile sur bois transposée sur toile,Peinture
mosaïque,Mosaïque
sculpture,Sculpture
sculpture en bronze,Sculpture
"Pointe d'argent et encre, coloré à la détrempe sur parchemin",Dessin
"Pierre noire, plume et encre brune",Dessin
gravure sur cuivre,Gravure
Tapisserie,Tapisserie
Sculpture en marbre,Sculpture
peinture grasse à tempera sur bois,Peinture
peinture grasse à tempera sur bois transférée sur toile,Peinture
détrempe sur bois,Peinture
livre illustré de gravures sur bois,Livre et manuscrit
manuscrit,Livre et manuscrit
œuvre imaginaire ou disparue,Œuvre imaginaire ou disparue
sculpture en cire,Sculpture
estampe en bois,Estampe
sculpture chryséléphantine,Sculpture
pierre,Sculpture
"or, ivoire, pierres précieuses",Sculpture
Huile sur cuivre,Peinture
huile et détrempe sur bois,Peinture
sculpture en boui,Sculpture
sculpture en bois,Sculpture
sculpture en craie,Sculpture
xylographie,Estampe
"cristal de roche, jaspe et pierres précieuses",Orfèvrerie
Vitrail,Vitrail
gravure,Estampe
"Fusain et craie blanche sur papier, marouflé sur toile",Dessin
Huile sur plâtre,Peinture
gravure au diamant,Orfèvrerie
Tempera et huile sur bois,Peinture
Bas-relief,Sculpture
granit,Sculpture
sculpture en marbre et bronze,Sculpture
huile,Peinture
bois,Sculpture
"satin, soie et lin",Tapisserie
Peinture en grisaille rehaussée d'or et d'aquarelle,Peinture
"Fusain, aquarelle sur papier, marouflé sur toile",Dessin
sculpture en pierre,Sculpture